id		name
-	1	Northern Cyprus
-	2	Kosovo
-	3	Somaliland
004		Afghanistan
008		Albania
010		Antarctica
012		Algeria
016		American Samoa
020		Andorra
024		Angola
028		Antigua and Barbuda
031		Azerbaijan
032		Argentina
036		Australia
040		Austria
044		Bahamas
048		Bahrain
050		Bangladesh
051		Armenia
052		Barbados
056		Belgium
060		Bermuda
064		Bhutan
068		Bolivia, Plurinational State of
070		Bosnia and Herzegovina
072		Botswana
074		Bouvet Island
076		Brazil
084		Belize
086		British Indian Ocean Territory
090		Solomon Islands
092		Virgin Islands, British
096		Brunei Darussalam
100		Bulgaria
104		Myanmar
108		Burundi
112		Belarus
116		Cambodia
120		Cameroon
124		Canada
132		Cape Verde
136		Cayman Islands
140		Central African Republic
144		Sri Lanka
148		Chad
152		Chile
156		China
158		Taiwan, Province of China
162		Christmas Island
166		Cocos (Keeling) Islands
170		Colombia
174		Comoros
175		Mayotte
